name,year,value,code,rate,pop,,
Nevada,1995,0.00001851613681323270,32,37,1998257,,
New Hampshire,1995,0.00000728281433840487,33,9,1235786,,
New Jersey,1995,0.00009246109325140980,34,778,8414350,,
New Mexico,1995,0.00001704189998493720,35,31,1819046,,
New York,1995,0.00000347799381096271,36,66,18976457,,
North Carolina,1995,0.00014026041725548500,37,1129,8049313,,
North Dakota,1995,0.00015104328869511100,38,97,642200,,
Ohio,1995,0.00000193778989777277,39,22,11353140,,
Oklahoma,1995,0.00017938628445506300,40,619,3450654,,
Oregon,1995,0.00001899807651782210,41,65,3421399,,
Pennsylvania,1995,0.00000000000000000000,42,0,12281054,,
Rhode Island,1995,0.00000000000000000000,44,0,1048319,,
South Carolina,1995,0.00001171482039435570,45,47,4012012,,
South Dakota,1995,0.00004636719640084570,46,35,754844,,
Tennessee,1995,0.00001001883717157330,47,57,5689283,,
Texas,1995,0.00002316344568483710,48,483,20851820,,
Utah,1995,0.00001343382430975890,49,30,2233169,,
Vermont,1995,0.00000000000000000000,50,0,608827,,
Virginia,1995,0.00004492467699792970,51,318,7078515,,
Washington,1995,0.00000848302910646049,53,50,5894121,,
West Virginia,1995,0.00022672677322456300,54,410,1808344,,
Wisconsin,1995,0.00003411839829967330,55,183,5363675,,
Wyoming,1995,0.00000810074081274732,56,4,493782,,
Alabama,1996,0.00002451035506284990,1,109,4447100,,
Arizona,1996,0.00002982088756316960,4,153,5130632,,
Arkansas,1996,0.00004488666118051920,5,120,2673400,,
California,1996,0.00002795848610613810,6,947,33871648,,
Colorado,1996,0.00000232489960502281,8,10,4301261,,
Connecticut,1996,0.00000176182219396781,9,6,3405565,,
Delaware,1996,0.00000000000000000000,10,0,783600,,
District of Columbia,1996,0.00000000000000000000,11,0,572059,,
Florida,1996,0.00000919763003978507,12,147,15982378,,
Georgia,1996,0.00023465596150127500,13,1921,8186453,,
Idaho,1996,0.00001622933754162630,16,21,1293953,,
Illinois,1996,0.00000048311928867448,17,6,12419293,,
Indiana,1996,0.00000180906621757968,18,11,6080485,,
Iowa,1996,0.00000068345131981284,19,2,2926324,,
Kansas,1996,0.00000037196596660192,20,1,2688418,,
Kentucky,1996,0.00001385531929212180,21,56,4041769,,
Louisiana,1996,0.00001879625220632200,22,84,4468976,,
Maine,1996,0.00000156872218949693,23,2,1274923,,
Maryland,1996,0.00000264326196651893,24,14,5296486,,
Massachusetts,1996,0.00000000000000000000,25,0,6349097,,
Michigan,1996,0.00000593654298399226,26,59,9938444,,
Minnesota,1996,0.00007887014051691250,27,388,4919479,,
Mississippi,1996,0.00100222944199268000,28,2851,2844658,,
Missouri,1996,0.00002716608900003950,29,152,5595211,,
Montana,1996,0.00006317924617183650,30,57,902195,,
Nebraska,1996,0.00000116872742529933,31,2,1711263,,
Nevada,1996,0.00001151003099200950,32,23,1998257,,
